Date,12/31/2025
1M x 3M USD Normal Annual RFR Vol (BPS/ANNUM),57.708
1M x 1Y USD Normal Annual RFR Vol (BPS/ANNUM),57.708
1M x 2Y USD Normal Annual RFR Vol (BPS/ANNUM),66.3855
1M x 5Y USD Normal Annual RFR Vol (BPS/ANNUM),68.0372
3M x 3M USD Normal Annual RFR Vol (BPS/ANNUM),64.7849
3M x 1Y USD Normal Annual RFR Vol (BPS/ANNUM),64.7849
3M x 2Y USD Normal Annual RFR Vol (BPS/ANNUM),70.116
3M x 5Y USD Normal Annual RFR Vol (BPS/ANNUM),72.9521
6M x 3M USD Normal Annual RFR Vol (BPS/ANNUM),71.2622
6M x 1Y USD Normal Annual RFR Vol (BPS/ANNUM),71.2622
6M x 2Y USD Normal Annual RFR Vol (BPS/ANNUM),75.848
6M x 5Y USD Normal Annual RFR Vol (BPS/ANNUM),77.6694
1Y x 3M USD Normal Annual RFR Vol (BPS/ANNUM),77.4942
1Y x 1Y USD Normal Annual RFR Vol (BPS/ANNUM),77.4942
1Y x 2Y USD Normal Annual RFR Vol (BPS/ANNUM),81.0902
1Y x 5Y USD Normal Annual RFR Vol (BPS/ANNUM),80.4031
2Y x 3M USD Normal Annual RFR Vol (BPS/ANNUM),82.9342
2Y x 1Y USD Normal Annual RFR Vol (BPS/ANNUM),82.9342
2Y x 2Y USD Normal Annual RFR Vol (BPS/ANNUM),83.3134
2Y x 5Y USD Normal Annual RFR Vol (BPS/ANNUM),81.7715
5Y x 3M USD Normal Annual RFR Vol (BPS/ANNUM),85.5123
5Y x 1Y USD Normal Annual RFR Vol (BPS/ANNUM),85.5123
5Y x 2Y USD Normal Annual RFR Vol (BPS/ANNUM),85.253
5Y x 5Y USD Normal Annual RFR Vol (BPS/ANNUM),83.3145
